"1","Actions speak louder than words.","Mark Twain","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"2","A journey of a thousand miles begins with a single step.","Laozi","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"3","Don't count your chickens before they hatch.","Benjamin Franklin","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"4","When the going gets tough, the tough get going.","Joseph P. Kennedy","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"5","The early bird catches the worm.","William Camden","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"6","Practice makes perfect.","John Adams","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"7","Fortune favors the bold.","Virgil","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"8","Rome wasn’t built in a day.","John Heywood","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"9","You miss 100% of the shots you don’t take.","Wayne Gretzky","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"10","A picture is worth a thousand words.","Fred R. Barnard","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"11","Time is money.","Benjamin Franklin","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"12","The grass is always greener on the other side.","Publius Ovidius Naso","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"13","Necessity is the mother of invention.","Plato","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"14","Two heads are better than one.","John Heywood","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"15","Don't judge a book by its cover.","George Eliot","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"16","Honesty is the best policy.","Benjamin Franklin","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"17","An apple a day keeps the doctor away.","Benjamin Franklin","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"18","You can’t have your cake and eat it too.","Thomas More","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"19","Where there's a will, there's a way.","C.G. Jung","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"20","Birds of a feather flock together.","Lewis Carroll","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"21","Don’t put all your eggs in one basket.","Don Quixote","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"22","A stitch in time saves nine.","Thomas Fuller","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
"23","Better late than never.","Geoffrey Chaucer","1","2024-09-16 20:44:03","2024-09-16 20:44:03",NULL
